Gene	Is gene significantly up- or downregulated in aging MII oocytes?	Source	Species
ENSG00000188032	up	This study	human
ENSG00000151067	up	This study	human
ENSG00000261236	up	This study	human
ENSG00000114316	up	This study	human
ENSG00000184209	up	This study	human
ENSG00000169862	up	This study	human
ENSG00000105583	up	This study	human
ENSG00000110104	up	This study	human
ENSG00000282221	up	This study	human
ENSG00000181722	up	This study	human
ENSG00000231134	up	This study	human
ENSG00000111911	up	This study	human
ENSG00000011243	up	This study	human
ENSG00000107077	up	This study	human
ENSG00000162782	up	This study	human
ENSG00000142327	up	This study	human
ENSG00000205578	up	This study	human
ENSG00000100412	up	This study	human
ENSG00000105127	up	This study	human
ENSG00000149182	up	This study	human
ENSG00000227910	up	This study	human
ENSG00000134297	up	This study	human
ENSG00000119383	up	This study	human
ENSG00000167904	up	This study	human
ENSG00000101412	up	This study	human
ENSG00000248787	up	This study	human
ENSG00000198382	up	This study	human
ENSG00000135845	up	This study	human
ENSG00000156574	up	This study	human
ENSG00000160877	up	This study	human
ENSG00000173064	up	This study	human
ENSG00000110063	up	This study	human
ENSG00000183579	up	This study	human
ENSG00000114904	up	This study	human
ENSG00000085999	up	This study	human
ENSG00000165323	up	This study	human
ENSG00000111961	up	This study	human
ENSG00000031823	up	This study	human
ENSG00000072071	up	This study	human
ENSG00000258066	up	This study	human
ENSG00000041515	up	This study	human
ENSG00000236452	up	This study	human
ENSG00000166897	up	This study	human
ENSG00000089094	up	This study	human
ENSG00000105072	up	This study	human
ENSG00000197085	up	This study	human
ENSG00000100151	up	This study	human
ENSG00000124201	up	This study	human
ENSG00000130165	up	This study	human
ENSG00000230124	up	This study	human
ENSG00000275078	up	This study	human
ENSG00000260643	up	This study	human
ENSG00000169189	up	This study	human
ENSG00000107242	up	This study	human
ENSG00000104324	up	This study	human
ENSG00000040633	up	This study	human
ENSG00000151365	up	This study	human
ENSG00000152578	up	This study	human
ENSG00000170100	up	This study	human
ENSG00000248608	up	This study	human
ENSG00000165138	up	This study	human
ENSG00000145623	up	This study	human
ENSG00000132376	up	This study	human
ENSG00000156239	up	This study	human
ENSG00000245112	up	This study	human
ENSG00000107611	up	This study	human
ENSG00000110786	up	This study	human
ENSG00000069869	up	This study	human
ENSG00000235166	up	This study	human
ENSG00000100335	up	This study	human
ENSG00000033122	up	This study	human
ENSG00000125484	up	This study	human
ENSG00000110066	up	This study	human
ENSG00000168090	up	This study	human
ENSG00000170485	up	This study	human
ENSG00000277586	up	This study	human
ENSG00000182325	up	This study	human
ENSG00000214491	up	This study	human
ENSG00000285253	up	This study	human
ENSG00000076924	up	This study	human
ENSG00000118961	up	This study	human
ENSG00000010322	up	This study	human
ENSG00000169169	up	This study	human
ENSG00000255425	up	This study	human
ENSG00000113368	up	This study	human
ENSG00000273314	up	This study	human
ENSG00000186638	up	This study	human
ENSG00000172354	up	This study	human
ENSG00000116809	up	This study	human
ENSG00000117394	up	This study	human
ENSG00000116096	up	This study	human
ENSG00000173486	up	This study	human
ENSG00000141562	up	This study	human
ENSG00000006756	up	This study	human
ENSG00000183831	up	This study	human
ENSG00000163075	up	This study	human
ENSG00000133606	up	This study	human
ENSG00000284191	up	This study	human
ENSG00000110172	up	This study	human
ENSG00000133142	up	This study	human
ENSG00000133243	up	This study	human
ENSG00000215417	up	This study	human
ENSG00000138674	up	This study	human
ENSG00000249492	up	This study	human
ENSG00000261175	up	This study	human
ENSG00000102098	up	This study	human
ENSG00000157554	up	This study	human
ENSG00000104679	up	This study	human
ENSG00000204634	up	This study	human
ENSG00000147475	up	This study	human
ENSG00000125872	up	This study	human
ENSG00000139718	up	This study	human
ENSG00000145506	up	This study	human
ENSG00000108556	up	This study	human
ENSG00000115307	up	This study	human
ENSG00000160094	up	This study	human
ENSG00000158828	up	This study	human
ENSG00000176542	up	This study	human
ENSG00000258784	up	This study	human
ENSG00000136273	up	This study	human
ENSG00000138107	up	This study	human
ENSG00000198171	up	This study	human
ENSG00000158710	up	This study	human
ENSG00000157617	up	This study	human
ENSG00000140497	up	This study	human
ENSG00000048471	up	This study	human
ENSG00000171163	up	This study	human
ENSG00000172469	up	This study	human
ENSG00000206052	up	This study	human
ENSG00000091640	up	This study	human
ENSG00000138073	up	This study	human
ENSG00000066427	up	This study	human
ENSG00000153820	up	This study	human
ENSG00000118322	up	This study	human
ENSG00000123179	up	This study	human
ENSG00000267774	up	This study	human
ENSG00000132670	up	This study	human
ENSG00000258803	up	This study	human
ENSG00000141505	up	This study	human
ENSG00000163618	up	This study	human
ENSG00000197386	up	This study	human
ENSG00000158467	up	This study	human
ENSG00000259345	up	This study	human
ENSG00000237489	up	This study	human
ENSG00000188886	up	This study	human
ENSG00000115756	up	This study	human
ENSG00000149972	up	This study	human
ENSG00000196642	up	This study	human
ENSG00000102901	up	This study	human
ENSG00000135365	up	This study	human
ENSG00000155636	up	This study	human
ENSG00000105171	up	This study	human
ENSG00000167566	up	This study	human
ENSG00000158623	up	This study	human
ENSG00000130175	up	This study	human
ENSG00000149196	up	This study	human
ENSG00000286924	up	This study	human
ENSG00000119285	up	This study	human
ENSG00000231826	up	This study	human
ENSG00000273899	up	This study	human
ENSG00000052749	up	This study	human
ENSG00000100109	up	This study	human
ENSG00000170445	up	This study	human
ENSG00000198799	up	This study	human
ENSG00000226337	up	This study	human
ENSG00000060971	up	This study	human
ENSG00000176769	up	This study	human
ENSG00000142546	up	This study	human
ENSG00000177084	up	This study	human
ENSG00000175137	up	This study	human
ENSG00000146414	up	This study	human
ENSG00000197136	up	This study	human
ENSG00000183943	up	This study	human
ENSG00000107140	up	This study	human
ENSG00000188976	up	This study	human
ENSG00000249709	up	This study	human
ENSG00000179630	up	This study	human
ENSG00000086848	up	This study	human
ENSG00000050426	up	This study	human
ENSG00000183150	up	This study	human
ENSG00000162595	up	This study	human
ENSG00000178950	up	This study	human
ENSG00000179709	up	This study	human
ENSG00000070269	up	This study	human
ENSG00000164663	up	This study	human
ENSG00000237190	up	This study	human
ENSG00000100823	up	This study	human
ENSG00000171817	up	This study	human
ENSG00000176054	up	This study	human
ENSG00000160285	up	This study	human
ENSG00000123415	up	This study	human
ENSG00000125648	up	This study	human
ENSG00000255087	up	This study	human
ENSG00000232310	up	This study	human
ENSG00000008853	up	This study	human
ENSG00000135070	up	This study	human
ENSG00000166135	up	This study	human
ENSG00000021645	up	This study	human
ENSG00000227345	up	This study	human
ENSG00000171161	up	This study	human
ENSG00000162757	up	This study	human
ENSG00000119638	up	This study	human
ENSG00000214652	up	This study	human
ENSG00000169330	up	This study	human
ENSG00000149577	up	This study	human
ENSG00000173040	up	This study	human
ENSG00000105705	up	This study	human
ENSG00000182247	up	This study	human
ENSG00000105875	up	This study	human
ENSG00000151914	up	This study	human
ENSG00000119185	up	This study	human
ENSG00000128512	up	This study	human
ENSG00000124523	up	This study	human
ENSG00000197442	up	This study	human
ENSG00000003056	up	This study	human
ENSG00000255532	up	This study	human
ENSG00000164961	up	This study	human
ENSG00000198807	up	This study	human
ENSG00000100372	up	This study	human
ENSG00000096654	up	This study	human
ENSG00000058600	up	This study	human
ENSG00000143379	up	This study	human
ENSG00000084444	up	This study	human
ENSG00000288398	up	This study	human
ENSG00000175115	up	This study	human
ENSG00000113643	up	This study	human
ENSG00000065491	up	This study	human
ENSG00000130720	up	This study	human
ENSG00000124207	up	This study	human
ENSG00000225778	up	This study	human
ENSG00000103723	up	This study	human
ENSG00000106049	up	This study	human
ENSG00000148798	up	This study	human
ENSG00000136522	up	This study	human
ENSG00000157778	up	This study	human
ENSG00000163728	up	This study	human
ENSG00000183978	up	This study	human
ENSG00000198039	up	This study	human
ENSG00000088298	up	This study	human
ENSG00000182224	up	This study	human
ENSG00000066185	up	This study	human
ENSG00000228708	up	This study	human
ENSG00000280739	up	This study	human
ENSG00000185963	up	This study	human
ENSG00000149243	up	This study	human
ENSG00000103335	up	This study	human
ENSG00000171505	up	This study	human
ENSG00000081791	up	This study	human
ENSG00000255457	up	This study	human
ENSG00000249867	up	This study	human
ENSG00000103148	up	This study	human
ENSG00000100220	up	This study	human
ENSG00000007080	up	This study	human
ENSG00000179387	up	This study	human
ENSG00000149357	up	This study	human
ENSG00000143952	up	This study	human
ENSG00000140854	up	This study	human
ENSG00000160087	up	This study	human
ENSG00000112812	up	This study	human
ENSG00000138028	up	This study	human
ENSG00000023228	up	This study	human
ENSG00000129038	up	This study	human
ENSG00000181904	up	This study	human
ENSG00000163444	up	This study	human
ENSG00000145041	up	This study	human
ENSG00000144339	up	This study	human
ENSG00000287542	up	This study	human
ENSG00000141034	up	This study	human
ENSG00000119396	up	This study	human
ENSG00000180425	up	This study	human
ENSG00000224506	up	This study	human
ENSG00000144840	up	This study	human
ENSG00000267665	up	This study	human
ENSG00000168646	up	This study	human
ENSG00000004975	up	This study	human
ENSG00000179262	up	This study	human
ENSG00000243943	up	This study	human
ENSG00000116691	up	This study	human
ENSG00000197903	up	This study	human
ENSG00000249797	up	This study	human
ENSG00000141385	up	This study	human
ENSG00000034533	up	This study	human
ENSG00000155561	up	This study	human
ENSG00000278498	up	This study	human
ENSG00000104884	up	This study	human
ENSG00000198873	up	This study	human
ENSG00000196453	up	This study	human
ENSG00000120509	up	This study	human
ENSG00000115761	up	This study	human
ENSG00000196405	up	This study	human
ENSG00000132823	up	This study	human
ENSG00000077157	up	This study	human
ENSG00000054793	up	This study	human
ENSG00000100714	up	This study	human
ENSG00000187908	up	This study	human
ENSG00000176029	up	This study	human
ENSG00000120705	up	This study	human
ENSG00000145912	up	This study	human
ENSG00000067064	up	This study	human
ENSG00000198689	up	This study	human
ENSG00000232715	up	This study	human
ENSG00000154447	up	This study	human
ENSG00000149091	up	This study	human
ENSG00000168538	up	This study	human
ENSG00000140403	up	This study	human
ENSG00000117151	up	This study	human
ENSG00000124562	up	This study	human
ENSG00000129933	up	This study	human
ENSG00000184162	up	This study	human
ENSG00000079974	up	This study	human
ENSG00000080189	up	This study	human
ENSG00000184185	up	This study	human
ENSG00000170779	up	This study	human
ENSG00000125618	up	This study	human
ENSG00000188785	up	This study	human
ENSG00000161800	up	This study	human
ENSG00000172000	up	This study	human
ENSG00000267586	up	This study	human
ENSG00000100297	up	This study	human
ENSG00000127511	up	This study	human
ENSG00000125843	up	This study	human
ENSG00000172466	up	This study	human
ENSG00000248400	up	This study	human
ENSG00000172320	up	This study	human
ENSG00000010256	up	This study	human
ENSG00000127481	up	This study	human
ENSG00000125347	up	This study	human
ENSG00000113302	up	This study	human
ENSG00000117408	up	This study	human
ENSG00000186517	up	This study	human
ENSG00000122068	up	This study	human
ENSG00000158769	up	This study	human
ENSG00000148290	up	This study	human
ENSG00000136811	up	This study	human
ENSG00000214595	up	This study	human
ENSG00000103932	up	This study	human
ENSG00000165626	up	This study	human
ENSG00000117632	up	This study	human
ENSG00000110911	up	This study	human
ENSG00000227372	up	This study	human
ENSG00000149256	up	This study	human
ENSG00000179562	up	This study	human
ENSG00000167528	up	This study	human
ENSG00000063660	up	This study	human
ENSG00000100034	up	This study	human
ENSG00000238045	up	This study	human
ENSG00000182544	up	This study	human
ENSG00000075945	up	This study	human
ENSG00000286261	up	This study	human
ENSG00000174238	up	This study	human
ENSG00000054116	up	This study	human
ENSG00000146830	up	This study	human
ENSG00000162191	up	This study	human
ENSG00000270181	up	This study	human
ENSG00000108592	up	This study	human
ENSG00000176731	up	This study	human
ENSG00000124571	up	This study	human
ENSG00000159176	up	This study	human
ENSG00000196498	up	This study	human
ENSG00000130479	up	This study	human
ENSG00000197619	up	This study	human
ENSG00000135966	up	This study	human
ENSG00000161654	up	This study	human
ENSG00000136643	up	This study	human
ENSG00000250462	up	This study	human
ENSG00000141551	up	This study	human
ENSG00000247240	up	This study	human
ENSG00000034152	up	This study	human
ENSG00000183688	up	This study	human
ENSG00000243335	up	This study	human
ENSG00000183617	up	This study	human
ENSG00000096070	up	This study	human
ENSG00000184719	up	This study	human
ENSG00000068971	up	This study	human
ENSG00000044446	up	This study	human
ENSG00000284727	up	This study	human
ENSG00000100226	up	This study	human
ENSG00000105401	up	This study	human
ENSG00000161249	up	This study	human
ENSG00000156709	up	This study	human
ENSG00000107816	up	This study	human
ENSG00000134899	up	This study	human
ENSG00000135829	up	This study	human
ENSG00000188385	up	This study	human
ENSG00000142149	up	This study	human
ENSG00000105085	up	This study	human
ENSG00000167173	up	This study	human
ENSG00000160584	up	This study	human
ENSG00000120725	up	This study	human
ENSG00000273079	up	This study	human
ENSG00000110497	up	This study	human
ENSG00000099991	up	This study	human
ENSG00000101220	up	This study	human
ENSG00000105676	up	This study	human
ENSG00000166965	up	This study	human
ENSG00000229291	up	This study	human
ENSG00000196535	up	This study	human
ENSG00000110536	up	This study	human
ENSG00000164885	up	This study	human
ENSG00000134258	up	This study	human
ENSG00000146232	up	This study	human
ENSG00000164830	up	This study	human
ENSG00000132589	up	This study	human
ENSG00000100284	up	This study	human
ENSG00000196177	up	This study	human
ENSG00000155792	up	This study	human
ENSG00000164045	up	This study	human
ENSG00000181031	up	This study	human
ENSG00000184640	up	This study	human
ENSG00000087074	up	This study	human
ENSG00000108509	up	This study	human
ENSG00000215533	up	This study	human
ENSG00000136877	up	This study	human
ENSG00000159086	up	This study	human
ENSG00000008513	up	This study	human
ENSG00000286991	up	This study	human
ENSG00000144040	up	This study	human
ENSG00000080031	up	This study	human
ENSG00000183696	up	This study	human
ENSG00000110492	up	This study	human
ENSG00000108179	up	This study	human
ENSG00000031003	up	This study	human
ENSG00000116199	up	This study	human
ENSG00000166669	up	This study	human
ENSG00000128059	up	This study	human
ENSG00000174243	up	This study	human
ENSG00000161526	up	This study	human
ENSG00000088876	up	This study	human
ENSG00000125740	up	This study	human
ENSG00000156860	up	This study	human
ENSG00000102893	up	This study	human
ENSG00000144048	up	This study	human
ENSG00000162517	up	This study	human
ENSG00000189319	up	This study	human
ENSG00000132182	up	This study	human
ENSG00000079616	up	This study	human
ENSG00000130766	up	This study	human
ENSG00000287316	up	This study	human
ENSG00000116698	up	This study	human
ENSG00000203952	up	This study	human
ENSG00000125885	up	This study	human
ENSG00000099341	up	This study	human
ENSG00000109189	up	This study	human
ENSG00000163931	up	This study	human
ENSG00000165675	up	This study	human
ENSG00000167766	up	This study	human
ENSG00000173821	up	This study	human
ENSG00000137135	up	This study	human
ENSG00000166377	up	This study	human
ENSG00000160211	up	This study	human
ENSG00000101246	up	This study	human
ENSG00000111667	up	This study	human
ENSG00000141469	up	This study	human
ENSG00000144567	up	This study	human
ENSG00000115282	up	This study	human
ENSG00000175662	up	This study	human
ENSG00000181924	up	This study	human
ENSG00000107249	up	This study	human
ENSG00000106070	up	This study	human
ENSG00000064115	up	This study	human
ENSG00000077327	up	This study	human
ENSG00000109501	up	This study	human
ENSG00000105559	up	This study	human
ENSG00000126583	up	This study	human
ENSG00000132952	up	This study	human
ENSG00000133466	up	This study	human
ENSG00000117298	up	This study	human
ENSG00000092929	up	This study	human
ENSG00000115415	up	This study	human
ENSG00000143479	up	This study	human
ENSG00000165899	up	This study	human
ENSG00000169692	up	This study	human
ENSG00000130294	up	This study	human
ENSG00000187021	up	This study	human
ENSG00000183690	up	This study	human
ENSG00000127125	up	This study	human
ENSG00000139668	up	This study	human
ENSG00000132275	up	This study	human
ENSG00000160688	up	This study	human
ENSG00000163214	up	This study	human
ENSG00000157578	up	This study	human
ENSG00000106268	up	This study	human
ENSG00000187051	up	This study	human
ENSG00000198793	up	This study	human
ENSG00000232024	up	This study	human
ENSG00000184436	up	This study	human
ENSG00000181754	up	This study	human
ENSG00000138669	up	This study	human
ENSG00000260198	up	This study	human
ENSG00000082701	up	This study	human
ENSG00000177483	up	This study	human
ENSG00000126088	up	This study	human
ENSG00000133275	up	This study	human
ENSG00000161542	up	This study	human
ENSG00000127804	up	This study	human
ENSG00000130787	up	This study	human
ENSG00000013573	up	This study	human
ENSG00000142655	up	This study	human
ENSG00000101181	up	This study	human
ENSG00000100982	up	This study	human
ENSG00000214575	up	This study	human
ENSG00000178585	up	This study	human
ENSG00000270299	up	This study	human
ENSG00000115568	up	This study	human
ENSG00000154914	up	This study	human
ENSG00000007545	up	This study	human
ENSG00000198858	up	This study	human
ENSG00000234509	up	This study	human
ENSG00000127831	up	This study	human
ENSG00000117461	up	This study	human
ENSG00000165716	up	This study	human
ENSG00000153936	up	This study	human
ENSG00000213533	up	This study	human
ENSG00000119760	up	This study	human
ENSG00000213307	up	This study	human
ENSG00000186575	up	This study	human
ENSG00000163956	up	This study	human
ENSG00000155100	up	This study	human
ENSG00000007047	up	This study	human
ENSG00000112039	up	This study	human
ENSG00000117751	up	This study	human
ENSG00000204147	up	This study	human
ENSG00000244607	up	This study	human
ENSG00000157500	up	This study	human
ENSG00000081386	up	This study	human
ENSG00000172534	up	This study	human
ENSG00000186660	up	This study	human
ENSG00000149218	up	This study	human
ENSG00000110047	up	This study	human
ENSG00000129347	up	This study	human
ENSG00000160714	up	This study	human
ENSG00000100239	up	This study	human
ENSG00000137409	up	This study	human
ENSG00000163161	up	This study	human
ENSG00000126107	up	This study	human
ENSG00000091732	up	This study	human
ENSG00000108469	up	This study	human
ENSG00000125447	up	This study	human
ENSG00000117592	up	This study	human
ENSG00000013306	up	This study	human
ENSG00000186866	up	This study	human
ENSG00000196387	up	This study	human
ENSG00000103150	up	This study	human
ENSG00000136875	up	This study	human
ENSG00000170871	up	This study	human
ENSG00000117597	up	This study	human
ENSG00000166535	up	This study	human
ENSG00000048991	up	This study	human
ENSG00000004142	up	This study	human
ENSG00000169221	up	This study	human
ENSG00000272620	up	This study	human
ENSG00000117139	up	This study	human
ENSG00000131089	up	This study	human
ENSG00000167395	up	This study	human
ENSG00000188997	up	This study	human
ENSG00000138375	up	This study	human
ENSG00000135919	up	This study	human
ENSG00000285589	up	This study	human
ENSG00000068394	up	This study	human
ENSG00000100348	up	This study	human
ENSG00000185900	up	This study	human
ENSG00000106991	up	This study	human
ENSG00000177398	up	This study	human
ENSG00000174177	up	This study	human
ENSG00000188827	up	This study	human
ENSG00000161692	up	This study	human
ENSG00000154309	up	This study	human
ENSG00000198700	up	This study	human
ENSG00000088833	up	This study	human
ENSG00000163781	up	This study	human
ENSG00000130558	up	This study	human
ENSG00000267174	up	This study	human
ENSG00000143842	up	This study	human
ENSG00000254901	up	This study	human
ENSG00000119321	up	This study	human
ENSG00000146909	up	This study	human
ENSG00000079462	up	This study	human
ENSG00000187699	up	This study	human
ENSG00000100027	up	This study	human
ENSG00000110583	up	This study	human
ENSG00000135720	up	This study	human
ENSG00000116005	up	This study	human
ENSG00000228474	up	This study	human
ENSG00000166851	up	This study	human
ENSG00000121486	up	This study	human
ENSG00000130762	up	This study	human
ENSG00000087111	up	This study	human
ENSG00000105438	up	This study	human
ENSG00000125945	up	This study	human
ENSG00000078070	up	This study	human
ENSG00000166439	up	This study	human
ENSG00000288531	up	This study	human
ENSG00000140463	up	This study	human
ENSG00000140105	up	This study	human
ENSG00000132612	up	This study	human
ENSG00000179271	up	This study	human
ENSG00000113645	up	This study	human
ENSG00000176986	up	This study	human
ENSG00000228451	up	This study	human
ENSG00000165650	up	This study	human
ENSG00000254093	up	This study	human
ENSG00000084754	up	This study	human
ENSG00000186300	up	This study	human
ENSG00000009950	up	This study	human
ENSG00000215193	up	This study	human
ENSG00000175567	up	This study	human
ENSG00000107201	up	This study	human
ENSG00000121289	up	This study	human
ENSG00000182934	up	This study	human
ENSG00000107937	up	This study	human
ENSG00000164654	up	This study	human
ENSG00000103126	up	This study	human
ENSG00000110367	up	This study	human
ENSG00000117650	up	This study	human
ENSG00000062598	up	This study	human
ENSG00000110171	up	This study	human
ENSG00000022976	up	This study	human
ENSG00000135775	up	This study	human
ENSG00000117877	up	This study	human
ENSG00000176915	up	This study	human
ENSG00000161243	up	This study	human
ENSG00000136068	up	This study	human
ENSG00000154767	up	This study	human
ENSG00000114520	up	This study	human
ENSG00000180116	up	This study	human
ENSG00000065060	up	This study	human
ENSG00000187147	up	This study	human
ENSG00000116679	up	This study	human
ENSG00000196526	up	This study	human
ENSG00000197892	up	This study	human
ENSG00000012232	up	This study	human
ENSG00000196743	up	This study	human
ENSG00000116688	up	This study	human
ENSG00000005007	up	This study	human
ENSG00000157680	up	This study	human
ENSG00000270617	up	This study	human
ENSG00000155592	up	This study	human
ENSG00000135372	up	This study	human
ENSG00000107186	up	This study	human
ENSG00000175224	up	This study	human
ENSG00000173473	up	This study	human
ENSG00000169427	up	This study	human
ENSG00000170011	up	This study	human
ENSG00000167967	up	This study	human
ENSG00000031698	up	This study	human
ENSG00000067057	up	This study	human
ENSG00000149136	up	This study	human
ENSG00000198783	up	This study	human
ENSG00000133069	up	This study	human
ENSG00000110917	up	This study	human
ENSG00000244265	up	This study	human
ENSG00000158545	up	This study	human
ENSG00000136891	up	This study	human
ENSG00000066322	up	This study	human
Mga	down	Pan 2008	mouse
Brca1	down	Pan 2008	mouse
Tnc	down	Pan 2008	mouse
Ppara	down	Pan 2008	mouse
Itgb1	down	Pan 2008	mouse
Atp6v1b2	down	Pan 2008	mouse
C630016B22Rik	down	Pan 2008	mouse
3010015K02Rik	down	Pan 2008	mouse
Hnrpab	down	Pan 2008	mouse
Thumpd1	down	Pan 2008	mouse
Ing5	down	Pan 2008	mouse
Cttnbp2	down	Pan 2008	mouse
Evl	down	Pan 2008	mouse
Dag1	down	Pan 2008	mouse
Hspa1b	down	Pan 2008	mouse
Insm1	down	Pan 2008	mouse
Kctd5	down	Pan 2008	mouse
Tcfl4	down	Pan 2008	mouse
1500002B03Rik	down	Pan 2008	mouse
B430201G11Rik	down	Pan 2008	mouse
Copg2	down	Pan 2008	mouse
Hspa1b	down	Pan 2008	mouse
Rps17	down	Pan 2008	mouse
Sv2c	down	Pan 2008	mouse
C630016B22Rik	down	Pan 2008	mouse
Cnot8	down	Pan 2008	mouse
Hnrpdl	down	Pan 2008	mouse
Myo1c	down	Pan 2008	mouse
Rab14	down	Pan 2008	mouse
Tax1bp1	down	Pan 2008	mouse
Catnb	down	Pan 2008	mouse
D11Ertd730e	down	Pan 2008	mouse
Wdr40a	down	Pan 2008	mouse
4122402O22Rik	down	Pan 2008	mouse
5031400M07Rik	down	Pan 2008	mouse
5830446M03Rik	down	Pan 2008	mouse
A130040M12Rik	down	Pan 2008	mouse
2510039O18Rik	down	Pan 2008	mouse
4921513D23Rik	down	Pan 2008	mouse
Catnb	down	Pan 2008	mouse
Cct7	down	Pan 2008	mouse
Ddhd1	down	Pan 2008	mouse
Max	down	Pan 2008	mouse
Pdxp	down	Pan 2008	mouse
Phf3	down	Pan 2008	mouse
2610014H22Rik	down	Pan 2008	mouse
9530068E07Rik	down	Pan 2008	mouse
A430033K04	down	Pan 2008	mouse
AI848100	down	Pan 2008	mouse
Ap1g1	down	Pan 2008	mouse
Atp6v0b	down	Pan 2008	mouse
Atp6v1b2	down	Pan 2008	mouse
BC005662	down	Pan 2008	mouse
D8Ertd594e	down	Pan 2008	mouse
Pcyt1a	down	Pan 2008	mouse
Pitx2	down	Pan 2008	mouse
Ski	down	Pan 2008	mouse
4930535B03Rik	down	Pan 2008	mouse
Brca1	down	Pan 2008	mouse
Fbxo3	down	Pan 2008	mouse
Ibrdc3	down	Pan 2008	mouse
Itm1	down	Pan 2008	mouse
Mapk1	down	Pan 2008	mouse
Abcf3	down	Pan 2008	mouse
Ap1m2	down	Pan 2008	mouse
Ap3m2	down	Pan 2008	mouse
Flcn	down	Pan 2008	mouse
Rbm16	down	Pan 2008	mouse
Sfrs12	down	Pan 2008	mouse
Ube2h	down	Pan 2008	mouse
Adam17	down	Pan 2008	mouse
BC013672	down	Pan 2008	mouse
Hrbl	down	Pan 2008	mouse
Piwil1	down	Pan 2008	mouse
Samd7	down	Pan 2008	mouse
Zcchc14	down	Pan 2008	mouse
9630044O09Rik	down	Pan 2008	mouse
Add1	down	Pan 2008	mouse
AU041707	down	Pan 2008	mouse
Crsp3	down	Pan 2008	mouse
Lmna	down	Pan 2008	mouse
Mina	down	Pan 2008	mouse
Mtss1	down	Pan 2008	mouse
Sptlc1	down	Pan 2008	mouse
Tnrc6	down	Pan 2008	mouse
Txnrd1	down	Pan 2008	mouse
1500003O03Rik	down	Pan 2008	mouse
Ankrd17	down	Pan 2008	mouse
Capn7	down	Pan 2008	mouse
Chd4	down	Pan 2008	mouse
Dag1	down	Pan 2008	mouse
Dnaja4	down	Pan 2008	mouse
Hspa1b	down	Pan 2008	mouse
Igf2bp3	down	Pan 2008	mouse
Jmjd3	down	Pan 2008	mouse
Papola	down	Pan 2008	mouse
Rab4a	down	Pan 2008	mouse
1700001A13Rik	down	Pan 2008	mouse
4930420O11Rik	down	Pan 2008	mouse
A730098D12Rik	down	Pan 2008	mouse
Axin1	down	Pan 2008	mouse
Casp3	down	Pan 2008	mouse
Eif4a1	down	Pan 2008	mouse
Jarid2	down	Pan 2008	mouse
Kif23	down	Pan 2008	mouse
Klhl8	down	Pan 2008	mouse
Mgea5	down	Pan 2008	mouse
Nfe2l1	down	Pan 2008	mouse
Ppid	down	Pan 2008	mouse
Stat3	down	Pan 2008	mouse
Tcerg1	down	Pan 2008	mouse
2810457M08Rik	down	Pan 2008	mouse
5730590C14Rik	down	Pan 2008	mouse
6330415M09Rik	down	Pan 2008	mouse
Arl6ip2	down	Pan 2008	mouse
BC043098	down	Pan 2008	mouse
Brd2	down	Pan 2008	mouse
Dnajb11	down	Pan 2008	mouse
E130310N06	down	Pan 2008	mouse
Mmd	down	Pan 2008	mouse
Pttg1ip	down	Pan 2008	mouse
Rassf5	down	Pan 2008	mouse
Sorbs1	down	Pan 2008	mouse
0610007P14Rik	down	Pan 2008	mouse
2610206G21Rik	down	Pan 2008	mouse
6720425G15Rik	down	Pan 2008	mouse
Dscr1	down	Pan 2008	mouse
Ern1	down	Pan 2008	mouse
Mafg	down	Pan 2008	mouse
Plk1	down	Pan 2008	mouse
Prkar1a	down	Pan 2008	mouse
Rent1	down	Pan 2008	mouse
Rims2	down	Pan 2008	mouse
Sucla2	down	Pan 2008	mouse
Tcf4	down	Pan 2008	mouse
Thnsl1	down	Pan 2008	mouse
Trib2	down	Pan 2008	mouse
Ube3c	down	Pan 2008	mouse
2610311I19Rik	down	Pan 2008	mouse
2700069A02Rik	down	Pan 2008	mouse
5730511K23Rik	down	Pan 2008	mouse
9630007J19Rik	down	Pan 2008	mouse
9630044O09Rik	down	Pan 2008	mouse
A830020B06Rik	down	Pan 2008	mouse
Akt1	down	Pan 2008	mouse
Anapc4	down	Pan 2008	mouse
Btf3	down	Pan 2008	mouse
Ddx3x	down	Pan 2008	mouse
Evl	down	Pan 2008	mouse
Fut8	down	Pan 2008	mouse
Hnrpd	down	Pan 2008	mouse
Itm1	down	Pan 2008	mouse
Mlr2	down	Pan 2008	mouse
Oxr1	down	Pan 2008	mouse
Rph3a	down	Pan 2008	mouse
Shprh	down	Pan 2008	mouse
Tnrc6	down	Pan 2008	mouse
4732473B16Rik	down	Pan 2008	mouse
4933430F16Rik	down	Pan 2008	mouse
Akap1	down	Pan 2008	mouse
BC005662	down	Pan 2008	mouse
BC018507	down	Pan 2008	mouse
C030046I01Rik	down	Pan 2008	mouse
C80913	down	Pan 2008	mouse
Ccpg1	down	Pan 2008	mouse
Echs1	down	Pan 2008	mouse
Epb4.1l4b	down	Pan 2008	mouse
Gabpb1	down	Pan 2008	mouse
Mbd3l2	down	Pan 2008	mouse
Mtmr4	down	Pan 2008	mouse
Trim37	down	Pan 2008	mouse
Txln	down	Pan 2008	mouse
Ube1dc1	down	Pan 2008	mouse
Zfp263	down	Pan 2008	mouse
1110063G11Rik	down	Pan 2008	mouse
4932432N11Rik	down	Pan 2008	mouse
AI326906	down	Pan 2008	mouse
Arf4	down	Pan 2008	mouse
